epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.563,1.44143,4.35925,0.01477,0.53832,0.56457,0.50532,0.30498,1.37767,2.34339,0.02188,0.000553282,0.000553282,0.000553282
2,104.627,1.43418,2.38521,0.01437,0.52873,0.52601,0.53972,0.34084,1.323,1.32401,0.02003,0.00109797,0.00109797,0.00109797
3,155.475,1.4718,1.67413,0.01495,0.48287,0.63424,0.54421,0.33964,1.35068,1.03726,0.02119,0.00163166,0.00163166,0.00163166
4,206.744,1.45094,1.434,0.01467,0.5508,0.68239,0.62536,0.38621,1.30977,0.98195,0.02061,0.00161749,0.00161749,0.00161749
5,258.268,1.42279,1.34897,0.0141,0.55542,0.67824,0.62527,0.39165,1.2954,0.9355,0.01937,0.00160099,0.00160099,0.00160099
6,309.83,1.40256,1.29757,0.01433,0.5676,0.58315,0.56017,0.34615,1.32595,0.99083,0.02106,0.00158448,0.00158448,0.00158448
7,361.422,1.37434,1.26571,0.01371,0.55478,0.68971,0.62695,0.38776,1.32208,0.9774,0.01993,0.00156798,0.00156798,0.00156798
8,413.143,1.36444,1.20585,0.0136,0.5431,0.71364,0.62865,0.39342,1.26443,0.89973,0.01898,0.00155148,0.00155148,0.00155148
9,464.985,1.34067,1.17397,0.01325,0.6467,0.66892,0.69465,0.45211,1.25893,0.847,0.01886,0.00153497,0.00153497,0.00153497
10,517.08,1.31758,1.15189,0.01278,0.61859,0.68327,0.69239,0.45188,1.20408,0.87199,0.0179,0.00151847,0.00151847,0.00151847
11,568.97,1.29871,1.12553,0.01271,0.59779,0.7196,0.69314,0.44384,1.27153,0.80985,0.01902,0.00150197,0.00150197,0.00150197
12,621.028,1.2759,1.09974,0.0126,0.62655,0.70459,0.70828,0.47614,1.18069,0.81458,0.01802,0.00148546,0.00148546,0.00148546
13,673.112,1.26559,1.10178,0.01245,0.62198,0.70611,0.68318,0.44477,1.21999,0.84809,0.01908,0.00146896,0.00146896,0.00146896
14,725.232,1.24581,1.0772,0.01217,0.65439,0.73898,0.74024,0.49898,1.16399,0.75812,0.01719,0.00145246,0.00145246,0.00145246
